,City,Colors Reported,Shape Reported,State,Time
126,Pittsburgh,,OVAL,PA,6/1/1950 20:00
127,Kensington,,OVAL,MD,6/7/1950 20:00
128,Kansas City,,DISK,MO,6/8/1950 10:00
129,Napa,GREEN,DISK,CA,6/10/1950 0:00
130,Grosse Pointe Park,,OVAL,MI,6/15/1950 13:00
131,Bonifay,,DISK,FL,6/15/1950 20:00
132,Fort Worth,,DISK,TX,6/15/1950 20:00
133,Booneville,,DISK,MS,6/20/1950 10:00
134,Galveston,,SPHERE,TX,6/20/1950 17:00
135,Lac Du Flambeau,,DISK,WI,6/30/1950 16:00
136,Florence,,DISK,CO,6/30/1950 17:30
137,Florence,,LIGHT,CO,6/30/1950 17:30
138,Coeur d'Alene,ORANGE,CIGAR,ID,7/2/1950 13:00
139,Bay St. Louis,,LIGHT,MS,7/2/1950 21:00
140,East Palestine,,LIGHT,OH,7/10/1950 20:30
141,Newark,,SPHERE,NJ,7/15/1950 21:30
142,Los Padres National Forest,,FORMATION,CA,7/15/1950 23:00
143,Smithport,,DISK,PA,7/20/1950 21:30
144,Louisville,,OTHER,KY,8/1/1950 4:00
145,Stanfield,,DISK,OR,8/15/1950 14:00
146,Pikeville,,DISK,KY,10/1/1950 11:00
147,Sandy Hook,,TRIANGLE,NJ,10/15/1950 15:00
148,Half Moon Bay,,OTHER,CA,12/12/1950 22:00
149,Palm Springs,,CIGAR,CA,1/20/1951 4:30
150,Thompsonville,,DISK,CT,2/3/1951 22:00
151,Los Angeles,,DISK,CA,2/15/1951 11:00
152,Irving,BLUE,DISK,KS,4/15/1951 0:30
153,Fort Sill,,OVAL,OK,5/15/1951 3:00
154,Oklahoma,,CIGAR,OK,6/1/1951 19:00
155,Jasper,,OVAL,NC,6/3/1951 13:00
156,Mount Pinos,,DISK,CA,6/6/1951 2:00
157,Greenville,GREEN,DISK,MS,6/15/1951 20:30
158,Jackson Heights,,DISK,NY,6/30/1951 7:00
159,Birmingham,,,AL,6/30/1951 19:00
160,Otis Orchards,,DISK,WA,7/1/1951 3:00
161,Atlanta,,,GA,7/1/1951 14:00
162,Calaveras County,,DISK,CA,7/3/1951 3:00
163,Green River,GREEN,SPHERE,WY,7/3/1951 12:00
164,Provo,BLUE,DISK,UT,7/10/1951 23:30
165,Spokane Valley,,SPHERE,WA,7/15/1951 14:00
166,Sunland,,CIRCLE,CA,8/10/1951 1:00
167,Altoona,,DISK,PA,8/15/1951 13:00
168,Jacksonville,,DISK,FL,10/15/1951 20:00
169,Holloman AFB,,CIRCLE,NM,11/15/1951 6:00
170,Salt Lake City,,,UT,1/1/1952 0:00
171,Binghamton,,DISK,NY,2/10/1952 21:00
172,Nellis AFB,,DISK,NV,2/17/1952 18:00
173,Chicago,,DISK,IL,4/15/1952 13:00
174,Greenville,ORANGE,TRIANGLE,TX,4/15/1952 16:00
175,Pittsburgh,,CYLINDER,PA,5/15/1952 10:15
176,Allyn,,DISK,WA,5/15/1952 20:00
177,Dousman,,,WI,6/1/1952 11:00
178,Norfolk,RED,FIREBALL,VA,6/1/1952 22:00
179,Evergreen,,DISK,CO,6/6/1952 13:00
180,Chicago,,CIRCLE,IL,6/10/1952 12:00
181,Fortville,,DISK,IN,6/13/1952 7:30
182,Luke Airforce Base,,EGG,AZ,6/15/1952 0:00
183,Piedra Blanka,,CIGAR,CA,6/15/1952 0:00
184,Jacksonville,,TRIANGLE,FL,6/15/1952 21:00
185,Maywood,,CIRCLE,CA,6/15/1952 23:00
186,Lansing,,OTHER,MI,6/21/1952 22:00
187,Chester,,OVAL,PA,6/22/1952 17:45
188,Cheyenne,,DISK,WY,6/30/1952 0:00
189,Pecos,,DISK,TX,6/30/1952 3:00
190,Barksdale AFB,,,LA,6/30/1952 6:00
191,Miami,,LIGHT,FL,6/30/1952 9:00
192,New York City,,DISK,NY,6/30/1952 13:00
193,Auburn,,OVAL,WA,6/30/1952 18:30
194,Miami,,DISK,FL,6/30/1952 21:00
195,Miami,,DISK,FL,6/30/1952 21:00
196,Miami,,LIGHT,FL,6/30/1952 21:00
197,Sebeka,,OTHER,MN,7/1/1952 15:00
198,Detroit,,SPHERE,MI,7/1/1952 22:00
199,Tacoma,,SPHERE,WA,7/5/1952 16:00
200,Evergreen,,CIRCLE,CO,7/7/1952 10:00
201,Arlington,,DISK,TX,7/7/1952 13:00
202,Arlington,GREEN,OVAL,VA,7/13/1952 21:00
203,Wilmington,,DISK,CA,7/15/1952 12:00
204,,,DISK,CA,7/15/1952 12:30
205,Litchfield,,OTHER,PA,7/15/1952 13:00
206,South Gate,,CIRCLE,CA,7/15/1952 14:00
207,North Bend,,OTHER,WA,7/15/1952 18:30
208,New York City,,OTHER,NY,7/15/1952 19:00
209,Okolona,,OVAL,MS,7/22/1952 9:30
210,Tacoma,,SPHERE,WA,7/25/1952 16:00
211,Manville,,SPHERE,RI,7/30/1952 15:00
212,Tampa,,OVAL,FL,8/1/1952 21:30
213,Smithson's Valley,,CIGAR,TX,8/15/1952 17:00
214,Prairie Grove,,DISK,AR,8/15/1952 17:30
215,Hamilton,,LIGHT,OH,8/15/1952 22:15
216,Philadelphia,,CIRCLE,PA,9/9/1952 20:00
217,Norridgewock,,DISK,ME,9/15/1952 14:00
218,Kansas City,,DISK,MO,10/1/1952 12:00
219,Richland,,CIRCLE,WA,10/15/1952 21:00
220,Chicago,,OTHER,IL,12/6/1952 19:00
221,Camp McCoy,,CYLINDER,WI,12/30/1952 12:00
222,Nebraska,,,NE,1/1/1953 0:00
223,Oklahoma,,CIGAR,TX,1/1/1953 14:00
224,Palm Springs,,,CA,3/15/1953 0:00
225,Haverhill,,CHEVRON,MA,4/1/1953 15:00
226,Cambridge,RED,SPHERE,MA,4/1/1953 18:00
227,Chariton,,OTHER,IA,4/10/1953 13:00
228,Los Angeles,,FIREBALL,CA,4/15/1953 12:00
229,Midwest City,YELLOW,FIREBALL,OK,4/15/1953 16:00
230,Jamison,,CIGAR,PA,4/30/1953 16:00
231,Kingman,,,AZ,5/20/1953 8:00
232,Fresno,,,CA,6/1/1953 21:00
233,Roswell,,,NM,6/15/1953 0:00
234,Wenatchee,,DISK,WA,6/15/1953 12:00
235,Fort Worth,,SPHERE,TX,6/15/1953 13:00
236,North Bend,,CIRCLE,WA,6/15/1953 18:00
237,Galveston,,CIGAR,TX,6/17/1953 7:30
238,Cleveland,RED,FIREBALL,OH,6/30/1953 0:00
239,Kelso,,OVAL,WA,6/30/1953 15:00
240,Colorado Springs,,DISK,CO,7/1/1953 5:30
241,,BLUE,DISK,MT,7/4/1953 14:00
242,Ogallala,,OTHER,NE,7/4/1953 21:00
243,Nashville,,CYLINDER,TN,7/15/1953 13:00
244,Dublin,,CONE,IN,7/17/1953 22:00
245,Berkeley,,FIREBALL,MO,8/1/1953 12:00
246,"San Bernadino Mtns, Church Camp",,DISK,CA,8/1/1953 14:00
247,Vallejo,,LIGHT,CA,8/7/1953 21:00
248,Louisville,,CIRCLE,KY,8/15/1953 11:00
249,Artesia,ORANGE,OTHER,NM,8/15/1953 19:00
250,Bowleys Quarters,,SPHERE,MD,8/15/1953 21:00
251,Homer,,,PA,9/15/1953 14:00
252,Mauriceville,,DISK,TX,10/15/1953 14:00
253,New Orleans,,OVAL,LA,10/31/1953 19:00
254,Cicero,,OTHER,IL,11/13/1953 20:00
255,Keansburg,,CIRCLE,NJ,11/15/1953 3:00
256,Pendleton,GREEN,DISK,IN,11/21/1953 22:30
257,Lackland Air Force Base,,DISK,TX,11/25/1953 4:25
258,Brunswick,,,ME,1/1/1954 0:00
259,Lakeland,,DISK,FL,1/1/1954 1:00
260,Souix City,,CIRCLE,IA,1/1/1954 22:00
261,Santa Monica,,LIGHT,CT,1/15/1954 20:00
262,Fairbanks,,,AK,2/1/1954 2:00
263,Burney,,DISK,CA,2/15/1954 19:30
264,Stanford Campus,,DISK,CA,4/1/1954 22:00
265,Corvallis,,DIAMOND,OR,5/15/1954 12:00
266,Quincy,,DISK,IL,5/26/1954 4:30
267,Houston,,DISK,TX,6/1/1954 0:00
268,Ovid,,DISK,NY,6/1/1954 6:00
269,Springfield,,CYLINDER,IL,6/1/1954 8:00
270,El Cerrito,,LIGHT,CA,6/1/1954 19:00
271,Toledo,,DISK,OH,6/1/1954 19:00
272,Norfolk,,DISK,VA,6/1/1954 20:00
273,Philadelphia,,DISK,PA,6/1/1954 20:00
274,Fish Canyon,,LIGHT,CA,6/1/1954 23:00
275,Atlanta,,DISK,GA,6/6/1954 10:00
276,Estes Park,,CIGAR,CO,6/10/1954 20:00
277,Glenburn,,,ME,6/11/1954 2:00
278,Palm Beach,,LIGHT,CA,6/15/1954 11:00
279,Claymont,,DISK,DE,6/15/1954 11:45
280,Ellington AFB,,DISK,TX,6/15/1954 16:30
281,Lorton,,OTHER,VA,6/23/1954 2:00
282,Langley Air Force Base,,CIRCLE,VA,6/23/1954 23:00
283,Thrifty,,CIRCLE,TX,6/25/1954 3:30
284,Marion,,CIRCLE,VA,6/30/1954 0:00
285,Methuen,,,MA,6/30/1954 0:00
286,Hawthorne,,LIGHT,CA,6/30/1954 12:00
287,Pasadena,,CIRCLE,CA,6/30/1954 15:00
288,St. Louis Airport,RED,OVAL,MO,7/1/1954 21:00
289,Los Angeles,RED,CIRCLE,CA,7/1/1954 22:00
290,Walnut Creek,,,CA,7/7/1954 20:00
291,West Columbia,,FORMATION,SC,7/7/1954 22:00
292,Morroco,,VARIOUS,IN,7/12/1954 17:30
293,Philadelphia,,DISK,PA,7/15/1954 11:00
294,Greenfield,,CIGAR,IN,7/15/1954 14:00
295,Kansas City,,CHEVRON,KS,7/15/1954 21:00
296,Oakdale,,DISK,NY,7/15/1954 21:00
297,Bridge Hampton,,LIGHT,NY,7/15/1954 22:00
298,Farmingdale,,OVAL,NY,8/1/1954 12:00
299,Dyer,,TRIANGLE,IN,8/1/1954 17:00
300,Canton,,DISK,PA,8/1/1954 21:00
301,North Hollywood,,LIGHT,CA,8/1/1954 22:00
302,Puyallup,,OVAL,WA,8/15/1954 21:00
303,Geneva,,DISK,NY,9/1/1954 13:00
304,Beaumont,RED,DISK,TX,9/9/1954 12:30
305,Palmer Township,,OTHER,PA,9/15/1954 9:30
306,Flatwoods,,CIRCLE,WV,10/1/1954 19:00
307,Blanco,,OTHER,TX,10/15/1954 16:30
308,Manistee,,CIRCLE,MI,10/15/1954 21:30
309,Denver,,FIREBALL,CO,11/1/1954 18:30
310,Thelma,,DISK,TX,11/14/1954 1:00
311,Red Bank,ORANGE,CIRCLE,NJ,12/15/1954 23:10
312,Yucaipa,,OVAL,CA,12/16/1954 16:50
313,New York City,,LIGHT,NY,2/15/1955 19:00
314,Holbrook,YELLOW,EGG,MA,5/1/1955 15:00
315,Warrington,,FIREBALL,FL,5/15/1955 3:00
316,Homaland,,CIRCLE,CA,6/1/1955 0:00
317,Bagley,,CIRCLE,MN,6/1/1955 2:00
318,Cincinnati,,DISK,OH,6/1/1955 15:29
319,Martinez,,CIRCLE,CA,6/1/1955 17:00
320,Clinton,,EGG,TN,6/1/1955 20:30
321,Pensacola,,LIGHT,FL,6/6/1955 1:00
322,South St. Paul,,DISK,MN,6/15/1955 0:00
323,Terre Haute,ORANGE,CIRCLE,IN,6/15/1955 0:00
324,Missouri,,LIGHT,MO,6/15/1955 4:30
325,Youngstown,,,PA,6/15/1955 8:00
326,Daytona Beach,,FIREBALL,FL,6/15/1955 21:00
327,Rantoul,,LIGHT,IL,6/17/1955 7:00
328,Beach Haven Park,,DISK,NJ,6/23/1955 7:00
329,Quartz Hill,,DISK,CA,6/30/1955 0:00
330,Lubbock,,CIGAR,TX,6/30/1955 13:00
331,Dumas,,LIGHT,TX,6/30/1955 21:00
332,Morehead City,,DISK,NC,6/30/1955 21:00
333,Carnation,,DISK,WA,7/1/1955 14:00
334,Dierks,,CIGAR,AR,7/1/1955 22:00
335,Woodland Park,,OVAL,CO,7/15/1955 14:00
336,Ringold,,LIGHT,LA,7/15/1955 22:00
337,Newtown Square,,CIRCLE,PA,8/6/1955 19:00
338,Independence,,FIREBALL,MO,8/8/1955 1:00
339,Madisonville,,LIGHT,KY,8/14/1955 1:00
340,Eagle Pass,,CIGAR,TX,8/15/1955 0:01
341,Covina,,DISK,CA,8/17/1955 21:00
342,Bullhead,,DISK,AZ,9/10/1955 23:00
343,Mono Lake,,CIRCLE,CA,10/1/1955 22:00
344,West Covina,GREEN,,CA,10/9/1955 18:00
345,Rhinebeck,,LIGHT,NY,10/15/1955 20:00
346,Weirton,,DISK,WV,1/1/1956 5:30
347,Petaluma,,OVAL,CA,3/1/1956 13:00
348,Bowie,,DISK,MD,3/20/1956 20:00
349,Hampton,,SPHERE,MN,3/22/1956 17:30
350,Canton,,CIGAR,OH,5/1/1956 12:00
351,Pine castle AFB,,LIGHT,FL,5/15/1956 20:00
352,Ada,,CIRCLE,OK,5/17/1956 10:22
353,Belton,,OTHER,MO,6/1/1956 19:00
354,Memphis,ORANGE,CYLINDER,TN,6/1/1956 20:00
355,Elmore,,SPHERE,AL,6/5/1956 0:00
356,Salt Lake City,,CIRCLE,UT,6/5/1956 0:00
357,Upper Glade,,EGG,WV,6/6/1956 12:00
358,Akron,,OTHER,OH,6/6/1956 22:00
359,Edroy,,,TX,6/15/1956 1:00
360,San Francisco,,OTHER,CA,6/15/1956 12:15
361,Palo Alto,,FIREBALL,CA,6/15/1956 18:00
362,Richfield Springs,,CIGAR,NY,6/15/1956 18:00
363,Vista,ORANGE,CIGAR,CA,6/15/1956 19:15
364,Farragut,,CIGAR,TN,6/15/1956 20:00
365,Tulsa,,FLASH,OK,6/15/1956 20:00
366,Salem,,DISK,NJ,6/15/1956 20:32
367,New York City,,LIGHT,NY,6/15/1956 21:00
368,Cincinnati,,DISK,OH,6/16/1956 13:00
369,Madera,,SPHERE,CA,6/24/1956 14:00
370,Willow Grove,,LIGHT,PA,6/30/1956 1:00
371,Cape Girardeau,,DIAMOND,MO,6/30/1956 13:00
372,New Brunswick,,DISK,NJ,6/30/1956 16:00
373,Houston,,TRIANGLE,TX,6/30/1956 18:30
374,Beatrice,,OTHER,NE,7/1/1956 16:00
375,Wichita,,,KS,7/12/1956 19:00
376,Sacramento,,DISK,CA,7/14/1956 19:30
377,East Hampton,,DISK,CT,7/15/1956 0:00
378,Yellowstone Park,,DISK,WY,7/15/1956 0:00
379,Sugarcreek,,DISK,OH,7/15/1956 5:00
380,Harvard,,,MA,8/1/1956 20:00
381,Bradford,YELLOW,SPHERE,AL,8/1/1956 23:30
382,Norfolk,,CIGAR,VA,9/9/1956 5:55
383,Middle River,BLUE,CIRCLE,MD,9/15/1956 20:00
384,Hope,,CIRCLE,AR,9/20/1956 16:00
385,Greenwich,,LIGHT,CT,9/21/1956 0:00
386,Newport,,RECTANGLE,NH,10/1/1956 19:00
387,Edna,,CIRCLE,TX,10/10/1956 21:00
388,Mt. Vernon,,DISK,IN,10/15/1956 21:30
389,Aberdeen,ORANGE,CIRCLE,SD,11/15/1956 18:30
390,Painsville,,RECTANGLE,OH,11/27/1956 22:00
391,Columbus,,FORMATION,OH,12/1/1956 23:00
392,Dallas,,,TX,1/1/1957 21:00
393,Jena,,SPHERE,LA,3/5/1957 19:30
394,Fort Devans,,OVAL,MA,3/7/1957 4:00
395,Los Angeles,,FORMATION,CA,3/15/1957 13:00
396,Los Angeles,,DISK,CA,3/15/1957 15:00
397,Canton,,CIGAR,OH,5/1/1957 12:00
398,Rhinebeck,,DIAMOND,NY,5/25/1957 13:00
399,Union Bower are irving,,FORMATION,TX,6/1/1957 0:00
400,El Paso,,DISK,TX,6/1/1957 10:00
401,E. Los Angeles,,LIGHT,CA,6/1/1957 12:00
402,Glens Falls,,DISK,NY,6/1/1957 20:00
403,Irving,,LIGHT,TX,6/1/1957 22:00
404,Hicksville,,CIRCLE,NY,6/6/1957 22:00
405,Green Lake,,OVAL,MI,6/12/1957 19:00
406,Livermore Falls,,DIAMOND,ME,6/14/1957 10:00
407,Great Falls,,,MT,6/15/1957 0:00
408,Hartford City,,DISK,IN,6/15/1957 13:00
409,Walled Lake,,CYLINDER,MI,6/15/1957 23:30
410,San Leandro,,LIGHT,CA,6/19/1957 21:00
411,Lubbock,,TRIANGLE,TX,6/21/1957 17:00
412,Norwalk,,DISK,CA,6/21/1957 19:30
413,Arctic,,CIGAR,AK,6/30/1957 0:00
414,Dallas,,OTHER,TX,6/30/1957 0:00
415,Birmingham,,,MI,6/30/1957 3:30
416,New York City,,TEARDROP,NY,6/30/1957 12:00
417,Burlington,,CIRCLE,IA,6/30/1957 13:00
418,Russellville,ORANGE,SPHERE,AR,6/30/1957 18:00
419,Barker,,DISK,NY,6/30/1957 20:00
420,Albany,,CIRCLE,CA,6/30/1957 21:00
421,Mullens,,OVAL,WV,7/1/1957 13:00
422,Talcott,,SPHERE,WV,7/1/1957 13:00
423,Del Rio,,CIGAR,TX,7/1/1957 20:00
424,Phillipsburg,,CIGAR,NJ,7/10/1957 20:00
425,Baltimore,,OTHER,MD,7/10/1957 22:00
426,Chesapeake,,DISK,OH,7/13/1957 9:00
427,Temple City,,LIGHT,CA,7/15/1957 12:00
428,Houston,,DIAMOND,TX,7/15/1957 13:00
429,Williamsport,,CIGAR,PA,7/15/1957 14:00
430,Long Beach,,DISK,CA,7/15/1957 15:00
431,Denver,,LIGHT,CO,7/15/1957 22:00
432,Kresgeville,,,PA,7/15/1957 22:00
433,Salt  Lake City,,DISK,UT,7/15/1957 22:00
434,Kansas City,RED,LIGHT,MO,7/15/1957 23:30
435,Arco,,DISK,ID,8/1/1957 12:00
436,Vandalia,,DISK,OH,8/3/1957 20:00
437,Bainbridge,,FIREBALL,MD,8/4/1957 2:00
438,Indianapolis,,LIGHT,IN,8/7/1957 1:00
439,San Diego,,DISK,CA,8/9/1957 0:30
440,Ticonderoga,,DISK,NY,8/14/1957 16:00
441,California,,FIREBALL,CA,8/14/1957 21:00
442,Longview,,TRIANGLE,WA,8/15/1957 1:00
443,Ludlow,,CIGAR,MA,8/15/1957 1:00
444,Exeter,,DISK,NH,8/15/1957 21:00
445,Auburn,,,MA,8/15/1957 21:30
446,Smith's Ferry,,DISK,ID,8/16/1957 21:30
447,Huntington,,TRIANGLE,IN,8/17/1957 23:00
448,Graham,,SPHERE,TX,9/1/1957 16:00
449,Brecksville,,CIRCLE,OH,9/1/1957 23:00
450,Los Gatos,,DISK,CA,9/5/1957 17:30
451,St. Paul,,DISK,MN,9/10/1957 19:15
452,El Paso,,DISK,TX,9/15/1957 4:00
453,Lake Jackson,,FIREBALL,TX,9/15/1957 21:30
454,Tacoma,,DISK,WA,9/15/1957 23:00
455,Hopkinsville,,CIGAR,KY,9/20/1957 0:00
456,Nelchina,,,AK,10/1/1957 16:00
457,Martelle,,CIGAR,IA,10/1/1957 20:30
458,Paterson,,DISK,NJ,10/1/1957 21:00
459,Northeast Cape AFS,,,AK,10/1/1957 22:00
460,St. Paul,,LIGHT,MN,10/5/1957 19:00
461,England,,DISK,AR,10/15/1957 1:45
462,New York City,,,NY,10/15/1957 2:00
463,Houston,,LIGHT,TX,10/15/1957 20:30
464,Commerce City,,FIREBALL,CO,10/15/1957 22:00
465,Teaneck,,CYLINDER,NJ,11/10/1957 17:00
466,Corpus Christi,,LIGHT,TX,11/10/1957 19:00
467,St Lawrence Island,,OTHER,AK,11/10/1957 20:00
468,Madison,,CIGAR,WI,12/28/1957 0:00
469,Madison,,CIGAR,WI,12/28/1957 0:00
470,Pep,,FIREBALL,TX,1/1/1958 22:00
471,Howell,,CIGAR,MI,2/15/1958 2:30
472,Winooski,,OVAL,VT,4/17/1958 21:30
473,Winooski,,OVAL,VT,4/17/1958 21:30
474,Palmer Park,,SPHERE,MD,5/5/1958 20:00
475,North Hollywood,,CIRCLE,CA,5/7/1958 10:00
476,Cincinnati,,DIAMOND,OH,5/16/1958 0:00
477,North Hollywood,,SPHERE,CA,5/20/1958 0:00
478,Middlesex,,CIRCLE,NC,6/1/1958 2:00
479,San Francisco,,OVAL,CA,6/1/1958 19:00
480,New York City,,OVAL,NY,6/1/1958 21:00
481,Timpson,,LIGHT,TX,6/1/1958 22:00
482,Grand Island,,CIRCLE,NE,6/1/1958 22:30
483,Cincinnati,,DIAMOND,OH,6/6/1958 9:30
484,Baldwin Park,,CIGAR,CA,6/10/1958 12:00
485,Florala ?,,DISK,AL,6/15/1958 0:00
486,Mountain View,,OTHER,MO,6/15/1958 0:00
487,Coffeyville,,CIGAR,KS,6/15/1958 15:00
488,Yonkers,,LIGHT,NY,6/15/1958 15:00
489,Menlo Park,,LIGHT,CA,6/15/1958 19:15
490,Houston,,DISK,TX,6/15/1958 20:00
491,Oklahoma,,LIGHT,OK,6/15/1958 22:00
