state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Iowa,IA,Kossuth,19109,Republican,"Jeb Bush",13,0.014
Virginia,VA,Fluvanna,51065,Republican,"John Kasich",277,0.076
Indiana,IN,Tipton,18159,Democrat,"Bernie Sanders",606,0.581
Texas,TX,Webb,48479,Republican,"Ted Cruz",1155,0.282
"South Carolina",SC,Lancaster,45057,Democrat,"Bernie Sanders",1213,0.266
Pennsylvania,PA,Carbon,42025,Republican,"Donald Trump",5977,0.727
"South Dakota",SD,Buffalo,46017,Democrat,"Hillary Clinton",110,0.608
Nebraska,NE,Clay,31035,Republican,"Donald Trump",702,0.676
Michigan,MI,Clinton,26037,Republican,"John Kasich",3357,0.263
Virginia,VA,Culpeper,51047,Democrat,"Hillary Clinton",1421,0.547
"North Carolina",NC,Vance,37181,Democrat,"Hillary Clinton",4561,0.64
Kentucky,KY,Russell,21207,Democrat,"Bernie Sanders",332,0.467
Georgia,GA,Ware,13299,Democrat,"Hillary Clinton",919,0.75
Arkansas,AR,Columbia,5027,Democrat,"Hillary Clinton",1008,0.738
Tennessee,TN,Wayne,47181,Republican,"Ben Carson",158,0.072
Colorado,CO,Phillips,8095,Democrat,"Hillary Clinton",11,0.344
Maine,ME,Penobscot,23019,Democrat,"Bernie Sanders",4,0.8
Illinois,IL,Madison,17119,Republican,"John Kasich",3866,0.107
Ohio,OH,Lawrence,39087,Republican,"John Kasich",3692,0.303
Nevada,NV,Eureka,32011,Republican,"Marco Rubio",31,0.159
Georgia,GA,Taylor,13269,Democrat,"Hillary Clinton",476,0.877
Missouri,MO,Christian,29043,Republican,"Ted Cruz",10586,0.533
Tennessee,TN,Cannon,47015,Republican,"Marco Rubio",195,0.083
Nevada,NV,Churchill,32001,Republican,"John Kasich",43,0.032
Michigan,MI,Manistee,26101,Republican,"Ted Cruz",979,0.262
Texas,TX,Franklin,48159,Democrat,"Hillary Clinton",163,0.676
Arkansas,AR,Logan,5083,Democrat,"Hillary Clinton",881,0.689
"South Carolina",SC,Hampton,45049,Democrat,"Bernie Sanders",241,0.11
"New Hampshire",NH,Grafton,33009,Republican,"Jeb Bush",1864,0.115797974777909
Iowa,IA,Johnson,19103,Democrat,"Bernie Sanders",5473,0.595
Illinois,IL,Logan,17107,Republican,"Donald Trump",2185,0.36
Washington,WA,Lewis,53041,Republican,"Donald Trump",8513,0.818
Mississippi,MS,Panola,28107,Republican,"John Kasich",193,0.046
Alabama,AL,Clay,1027,Republican,"Ted Cruz",836,0.207
Arkansas,AR,Baxter,5005,Democrat,"Bernie Sanders",807,0.362
Texas,TX,Crane,48103,Republican,"Marco Rubio",169,0.164
Mississippi,MS,Carroll,28015,Democrat,"Bernie Sanders",82,0.089
Florida,FL,Sarasota,12115,Republican,"John Kasich",8100,0.111
Iowa,IA,Boone,19015,Republican,"Ted Cruz",566,0.322
Massachusetts,MA,Plymouth,25023,Republican,"Marco Rubio",1310,0.161
"North Carolina",NC,Cleveland,37045,Republican,"Donald Trump",4668,0.447
California,CA,Placer,6061,Democrat,"Bernie Sanders",12787,0.42
