user_name;stars;country;date;title;text;helpful
Moischdr;5;Germany;6 December 2017;Top .... das Handy was ein Handwerker braucht!;"Es war jetzt mehrfach mit im Pool, Wassertiefe 170cm, es ist massiven Staub ausgesetzt (Spritznebel, Zinkstaub, Dreck und noch mehr Dreck), musste schon mehrfach mit Verdünnung gereinigt werden, .... und es immernoch GEIL!

Lediglich der Hinweis: nach einem Besuch im Pool, sollte vor dem nächsten Ladegang darauf geachtet werden, dass die Anschlussbuchse 100% trocken ist. Da es zu Fehlermeldungen kommt. Ansonsten ist das Handy ein absolut treuer Begleiter, der jeden Sch**** mit macht und selbst abstürze aus 2m höhe Meistert (Aufprall auf Fliesenboden!)
Gehäuse ist sehr Robust und doch Flexibel genug um die Stöße abzufangen!

Speicherplatz: mitlerweile ist WhatsApp, Outlook, Wort Guru, WIWAPP, Suduko, Messenger, ebay Kleinanzeigen und noch mehr auf dem Handy installiert und der Speicher reicht immernoch aus!

Sollte mich dieses Handy, wegen was auch immer verlassen ..... weiß ich welches seinen Platz einnimmt bzw vielleicht gibts bis dahin das XCover 4/ 5 aufm Markt!";4
studrernat;5;Germany;22 December 2017;Das optimale Smartphone!;"War auf der Suche nach einem robusten und nicht allzu großen Smartphone, was noch dazu nicht so teuer sein sollte und bin beim XCover 3 gelandet. Bin voll begeistert! Akkuleistung top (ich lade alle zwei Tage), Bedienung auch. Schön handlich. Da es doch etwas rutschig in der Hand war, habe ich mir als Zusatzschutz eine Gummihülle von mumbi gekauft. Passt wie angegossen. Nutze das Smartphone v.a. zum Telefonieren, Surfen, Whatsapp und Twitter. Fotos sind nicht so toll, aber nutze ich eh kaum.
Wer ein robustes, gut zu bedienendes ( es gibt noch 3 gut zu bedienende und wertige ""Knöpfe"" unten für die wichtigsten Funktionen) und preiswertes Smartphone sucht, kann bedenkenlos zugreifen!";2
Leo;4;Italy;26 June 2017;Cell molto pratico.;"Ho acquistato questo cell perché faccio un lavoro edile e spesso ho a che fare con polvere e sporcizia in generale ..
Dopo aver sempre comprato cellullari standard sono stati incuriosito dalle recensioni viste su internet
Devo dire che al momento mi trovo molto bene molto pratico di si pulisce direttamente sotto l'acqua favoloso!!!
L'unica pecca la memoria interna troppo piccola , comunque ho visto che possiamo sostituirla con quella esterna ad.";3
Davidesky72;5;Italy;26 March 2018;Gloria Postuna;"Ho adorato questo telefono. Non sono un patito dell'elettronica, ma ha sempre funzionato alla grande.
Lo trovavo persino bellissimo esteticamente.
Poi, da stupido, in un momento di ira a seguito di una lite mi sono sfogato su di lui.
Morale, ho provato con mani e piedi, ma per riuscire a romperlo ho dovuto usare tutta la forza ed appoggiarmi ad un muretto in cemento.
Vorrei non averlo mai fatto, mi rimane il rammarico ed il ricordo di un cellulare ottimo e quasi indistruttibile.";1
Marina Amelin;5;Germany;12 October 2017;gutes handy.;"hardware: hatte den vorgänger des modells schon und mit diesem bin ich insgesamt noch zufriedener als mit dem x-cover2. es hat schon so einiges an ""flugerfahrung"" gemacht, ist immer noch wasserdicht. den ganzen sommer fast jeden tag bei der arbeit gehabt. das heißt, staubige erde, sand, regen, taunässe. auch osaft schon abbekommen und läuft super.

software: ein paar mal hat es sich schon aufgehängt, aber das ist auf jeden fall im rahmen. welches handy hängt sich denn nicht auf? fotos sind super, ich fotografiere oft kleine motive, insekten oder blumen, die ich so bei der arbeit finde. fotos haben natürliche farben und der autofokus ist alles andere als enttäuschend.
kaufempfehlung für jeden, der nicht fiel schnickschnack braucht, keine hohen ansprüche an speicherplatz hat und ein zuverlässiges outdoorhandy sucht.";0
Luciano.Bertacca;2;Italy;15 July 2020;Non soddisfatto;Trattasi di apparecchio semplice leggero e di buon design, rilevo tuttavia che non è idoneo all'utilizzo per anziani in quanto presenta interruttori laterali che un anziano attiva inavvertitamente e altri difetti di natura ergonomica;0
Ieser;4;Italy;14 December 2020;Ottima cover ma non abbastanza protettiva;Bellissima cover, non scivola ed è molto piacevole da tenere in mano. Unica pecca è che la fotocamera dietro non è molto protetta in quanto la cover è più alta di pochissimo, a occhio direi circa 1mm. E anche la parte in basso dello smartphone risulta quasi completamente scoperta.;1
Cliente Amazon;1;Spain;9 December 2020;No es el mismo que el de la foto;Que no es como el de la foto me llego una carcasa completamente diferente no se si se equivocaron o que lo unico que tenian de parecido el color rosa por dentro ya ni si quiera era como en la foto era una especie se tela y el nombre de samsung no estaba abajo estaba en el medio ni la textura ni nada nose si se equivocaron pero asi como lo recibi a los 2 minutos tramite la devolucion con eso lo digo todo...;0
Noelia.rg86;3;Spain;15 July 2020;no me gustó;Al hacer foto con flash salía la foto azulada, además que de un golpecito se picó la carcasa por un lateral;1
Rochelle;5;Spain;31 May 2020;Contentísima con la compra;El color es precioso! Encaja a la perfección, cómodo porque el móvil así además de ir protegido no resbala en la mano. Queda muy bien puesta. Muyy contenta.;0
Raimondo;5;Italy;7 August 2020;Cover perfetta ed originale;Veste perfettamete sul cellulare ed è molto originale come colore. A mia figlia è piaciuta un sacco. Ottimo regalo.;0
Bonny;1;Germany;19 April 2019;Nur bedingt zufrieden;Das 1.gelieferte Handy bekam nach kurzer Zeit einen immer grösser werdenden schwarzen Fleck im Display. Das daraufhin neu gelieferte 2. Handy hatte einen Wackelkontakt , so dass eine Verbindung zum PC zwecks Datenübertragung oder Aufladung nicht möglich war. Jetzt habe ich das 3. Handy und hoffe , dass sich kein Defekt mehr einstellt.... Die ständige Neueinrichtung ist nämlich sehr ärgerlich. Positiv ist die prompte Reaktion des Händlers im Rahmen der Reklamation zu bewerten.;2
Cliente Amazon;1;Italy;20 December 2020;E' ARRIVATO IN CONDIZIONI DI CONFIGURAZIONE,INFAMI.;"MI E' PIACIUTO MOLTO POCO DI QUESTO TELEFONO,E' ARRIVATO PRATICAMENTE CON POCHISSIME APP INSCLUSE;DI QUELLO CHE CI HO PASSATO DAL PRECEDENTE TELEFONO SAMSUNG (S7 EDGE - ACQUISTATO DA VOI) E' ARRIVATO SOLO LA META' E MI SONO SERVITI QUATTRO GIORNI PER CONFIGURARLO IN MODO DECENTE.
SE MI CAPITERA' DI ACQUISTARE UN NUOVO TELEFONO,VI GARANTISCO CHE ACQUISTERO' UN CELLULARE BASIC IN ITALIA DIRETTAMENTE, E CON VENTI EURO DI SPESA,SONO A POSTO.
MEGLIO POCO ED ESSENZIALE CHE MOLTO ED IN MANIERA CIALTRONESCA.";0
Marcello Latella;5;Italy;11 October 2020;Cellulare perfetto.Scatola completa di tutto e anche di più.;Il telefonino è arrivato con 8 giorni di anticipo rispetto al tempo massimo di consegna.La confezione era superprotetta per evitare gli urti durante il trasporto.Il telefonino è perfetto,con accessori extra gratuiti.Venditore serio e disponibile.Low & price è una garanzia di correttezza e affidabilità.Lo terrò in considerazione per i prossimi ordini.;1
Cliente Amazon;1;Italy;14 May 2020;Non ho ricevuto un cellulare in Versione Italiana;"Il cel che mi è stato spedito era la versione tedesca DBT con tastiera solo in inglese o tedesco

Non compratelo se cercate la versione italiana ... la lingua italinana è selezionabile in qualsiasi modello anche
brandizzato di S7, non per questo fa si che il cellulare possa essere venduto come Versione Italiana";3
Mirko Scaringia;5;Italy;7 January 2021;Ex top di gamma;Il telefono é nuovo con cover in confezione, é arrivato dopo un mese ma possi dire che ne è valsa la pena, lo consiglio a tutti.;1
matteo nieddu;1;Italy;24 November 2020;ATTENZIONE NON COMPRATELO;MI HANNO SPEDITO LA VERSIONE TEDESCA CON TASTIERA IN INGLESE O IN TEDESCO. L'HO RISPEDITO INDIETRO SUBITO, E' SOLO UNA PERDITA DI TEMPO.;1
Missy Miss;1;Germany;28 July 2022;Preis Leistung stimmt nicht;Ist wirklich viel zu teuer. Es ist aus Plastik und billig verarbeitet. Nach paar mal drücken schon abdrücke auf den Tasten.;0
Schippburger;5;Germany;14 February 2012;Tolles Gerät ohne unnötigen Schnickschnack;"Ich gehöre zu denjenigen, die nach einigen Anläufen mit Touchscreen, Smartphone und Co. wieder ""back to the roots"" und auch zurück zu Nokia wollten (nach Motorola und Samsung). Für mich standen bei der Auswahl des Handys folgende Punkte im Vordergrund: der SAR-Wert, die Akku-Laufzeit, das Abrufen von e-mails, das Nachsehen (nicht Surfen!) im Internet und die Bluetooth-Kompatibiltät.
1. SAR-Wert: hier ist Nokia ja nicht gerade Vorreiter und in der von mir angestrebten Preisklasse war die Luft besonders dünn. Dennoch ist der SAR-Wert von 0,41 einer der niedrigsten bei Nokia.
2. Akku-Laufzeit: ist sicherlich individuell je nach Nutzung, aber jedenfalls deutlich länger als bei den ""Androiden"" (wo ja immer irgendetwas im Hintergrund läuft), beides probiert - kein Vergleich!
3. E-mails: Einrichten des e-mail-Kontos auf dem Handy völlig problemlos und schnell, Abruf ebenso
4. Internet: Dass man mit einem Handy nicht wirklich surfen kann, haben auch schon andere vor mir erkannt, aber wenn man mal schnell eine Telefonnummer braucht oder einen aktuellen Song-Interpreten wissen will - das funktioniert bestens. Praktisch ist auch der Cursor wie am PC.
5. Bluetooth im Auto: so wie es sein sollte. Gute Verbindung, wird automatisch aufgebaut, zeigt die Nummern und Namen richtig an - ist eine reine Freude (hatte ich auch schon öfter anders)!

Alles in allem hat es alle meine Erwartungen erfüllt, ich bin endlich zufrieden mit meinem Handy und würde es jederzeit wieder kaufen!

Nachtrag am 6.1.2013:
vor ca. einem Monat gab plötzlich die Bluetooth-Funktion ihren Geist auf. Nach einigen Selbst-Versuchen (Akku raus und wieder rein, neu Anmelden im Auto und Zurücksetzen auf Werkseinstellungen sowie Software-Update), die nicht halfen, nahm ich Kontakt mit dem Verkäufer auf und schickte das Handy ein. Die Bearbeitung der Rücksendung war mehr als kundenorientiert - blitzschnelle Reaktion, Überweisung des Postportos (weil Absendung aus Österreich) prompt. Seither warte ich allerdings... Update folgt.

Nachtrag am 7.2.2013
Mitte Jänner kam das Gerät ohne ""Vorwarnung"" wieder bei mir an und funktioniert seither wieder problemlos wie am ersten Tag. Das Einzige, was sich verändert hat, ist der Zugriff auf e-mails, denn seit der Reparatur lädt das Handy die Mails nicht mehr automatisch, sondern ich muss sie selbst abrufen, aber damit kann ich leben.";7
Philosophicus;4;Germany;12 March 2010;Schön und grundsolide;"Um es vorwegzunehmen, ich stelle an ein Handy keine besonders großen Ansprüche, was seine funktionellen Extras anbelangt. So war mein altes Handy stolze 7 Jahre alt, bevor ich mich endlich dazu entschied, mir ein neues zu kaufen. Im wesentlichen möchte ich damit nur telefonieren, SMS verschicken und ab und an ein paar Bilder knipsen können. Wahrscheinlich ist das mit ein Grund dafür, weshalb ich mit dem Nokia 6700 classic sehr zufrieden bin.

Die Metall-Schale wirkt solide und formschön, das Display ist kontrastreich und mit kräftigen, leuchtenden Farben und Icons ausgestattet. Das Menü ist einfach in seiner Handhabung, weil übersichtlich strukturiert und weitestgehend selbsterklärend. Auch die Hintergrundbilder und Klingeltöne lassen nichts zu wünschen übrig.

Entgegen der Auffassung anderer Rezensenten kann ich mich auch nicht über die Stabilität der Software beklagen. Mein Handy ist bislang noch kein einziges Mal abgestürzt, auch nach längerem Telefonieren nicht. Und nach 30-minütigem Telefonieren wird der Akku lediglich handwarm, aber keinesfalls heiß, wie hier einige meinen. Die Kamera liefert mit einer Auflösung von 5 Megapixeln ganz brauchbare Bilder, auch wenn diese nicht die Qualität einer Digitalkamera mit vergleichbarer Auflösung haben. In puncto Bildstabilisierung hätte Nokia sicher noch einges mehr machen können.

Enttäuschend sind eigentlich nur zwei Dinge: Der Akku, der bei durchschnittlichem Telefonieren bereits nach 4-6 Tagen schwächelt, sowie die Navigation. Selbst nach 15 Minuten gelingt es dem Handy oft nicht, den derzeitigen Standpunkt zu bestimmen. Aber ich muss gestehen, dass ich diese Funktion auch nicht zwingend benötige - sie war also nicht kaufentscheidend. Und über das viel zu kurze Datenkabel, an dem Nokia sichtlich gespart hat, braucht man auch nicht zu diskutieren.

Alles in allem ein edles, schickes, grundsolides Handy. 4 Sterne!";4
Mark Norden;4;Germany;11 October 2009;Nokia 6700 classic chorme;"Für mich wirklich ein optisch schönes Handy. Liegt gut in der Hand. Das Display ist deutlich abzulesen und die Ausstattung reicht mir völlig: für mich ist alles an Bord. Die Fotos sind bei guten Lichtverhältnissen gut. Nutze ich aber nur für Landschaftsaufnahmen, wenn ich keine richtige Kamera zur Hand habe. Die Standby- und Gesprächszeit reicht mir bei der Einstellung auf GPRS. Bei Aktivierung von UMTS (Dualmodus) ist der Akku zu schnell leer. Der 5. Stern fehlt, weil ich mit dem Handy SMS nicht schnell schreiben kann. Die ""Tasten"" sind ziemlich stramm und müssen stark gedrückt werden.";1
Frau M;1;Germany;8 July 2014;Nach 8 Monaten kaputt;"Leider hat war das Gerät nach nur 8 Monaten nicht mehr zu gebrauchen. Lt. Verkäufer besteht kein Umtauschrecht, wegen eines Kratzers. Nach 8 Monaten ist ein Kratzer meiner Meinung nach nicht der Grund, dass ein Gerät nicht mehr funktioniert. (Lässt sich nicht mehr laden, telefoniert werden kann nur noch über Lautsprecher). Und das wurde mir auch nur auf einem billigen Zettel handschriftlich mitgeteilt.
Hier kaufe ich nie nie nie wieder! Dann lieber das Geld zum Fenster raus werfen.";3
vic 47;5;Germany;7 August 2012;Top Handy;"Mein Mann war am Boden zerstört als er von sämtlichen Händlern in unserer Region hören musste, dass es dieses Handy nicht mehr gibt. Bei Amazon haben wir es gefunden und sofort bestellt. Leider hatte das erste Handy einen Defekt. Also zurück damit und hoffen das ein neues kommt. Nach 7 Tagen Bearbeitungszeit, kam es dann endlich. Alles top!!!
Die Kommunikation mit Amazon hat einfach super geklappt. Danke nochmal dafür, Ihr seit SPITZE!!!!!!!
Liebe Grüße
Vic";2
rafa p.;5;Spain;29 December 2021;Mejor que el que viene con el móvil original.;Es el pen del NOTE 20 ULTRA COLOR COBRE, pero este trae la función bluetooth, que al menos el mío no tenia y lo he podido usar vinculándolo a un NOTE 9 que tengo. Me falta comprobar si sirve para la Tablet, asi podría dejárselo a mi hija para que pinte un poco en ella. Tengo que decir que de accesorio original , es el mejor precio que he conseguido, ya que en tienda me han pedido 60 o 50 €, y en la web de servicio técnico de Samsung, no tenían o tenias que comprar uno sin bluetooth, por unos 50 € también.;3
ly;5;Germany;12 February 2023;Eingesteckt, kurz gewartet und er funktioniert tadellos!;"Es ist halt das Original von Samsung! Nichts ist besser! Hatte mir im letzten Jahr einen No- name Pen gekauft, weil ich meinen originalS-Pen verloren hatte. Der war nicht sonderlich gut und hielt nur ein halbes Jahr Ja, wie das alte Sprichwort sagt""Billig kauft zweimal'. Jetzt bin ich happy, wieder den Original Samsung zu haben. Der ist schnell und präzise und funktioniert mit Bluetooth.";0
Alexandre LEPRETRE;5;France;25 January 2023;Quasi identique à l'original, fonctionne prfaitement;"Le stylet est arrivé le jour même de la commande, on ne peut pas faire plus rapide ! J'avais perdu le mien dans la rue, donc j'ai apprécié de pouvoir le remplacer si vite...
La boite semble être originale Samsung, mais le S Pen lui-même n'as pas la sérigraphie Samsung sur sa façade, donc j'ai un léger doute. Sa couleur me semble aussi légèrement plus sombre que le stylet original mais c'est extrêmement subtil et pas gênant du tout (je n'ai plus le stylet original pour comparer). En tout cas mon Galaxy Note 20 Ultra 5G l'a reconnu instantanément et l'a appairé en quelques secondes. Il fonctionne exactement comme l'original, les fonctions sans fil Bluetooth à distance sont reconnues et la pression variable en dessin est exactement la même, c'est un excellent stylet, équivalent à l'original, pour un prix très correct, je suis satisfait de mon achat !";1
A. F.;1;Spain;19 March 2023;Sumamente caro y frágil;Es el tercero que compro, no recomiendo ni los móviles ni los accesorios, el bajón que Samsung ha dado para el precio exagerado es vergonzoso, el móvil se calienta un montón y estos s pen se parten como palillos de dientes....;0
pizzarandabschneider;5;Germany;1 February 2023;Funktion ist einwandfrei;PEN ist original verpackt, die Funktion ist wie beschrieben, es sind sogar noch drei Ersatzspitzen dabei.;1
chopper650;5;Germany;15 April 2021;Sehr gut;Schnelle Lieferung, Artikel entspricht den Erwartungen;0
Amazon Kunde;5;Germany;11 March 2020;Gut in der Handhabung;Das Handy erfüllt allen Anforderungen;1
Achim;5;Germany;10 December 2020;Handy;Für mich ausreichend, da alt.;0
Christian L.;3;Germany;15 October 2020;Ok;#���?;0
Amazon Kunde;5;Germany;1 January 2020;X Cover 4s;Alles bestens!;0
Jose;4;Spain;10 November 2022;Bueno tecla SOS pero con fallos en otras cosas;"El sistema de la tecla SOS me encanta sobre todo porque está delante a primera vista, aunque el botón podría ser un poco más grande que el resto

Le veo dos fallos considerables:

-El teclado siempre se bloquea al cabo de unos segundos. Esto en general va bien, pero en el anterior que tenía podía dejarlo siempre desbloqueado cosa que para un uso de emergencias es mejor, si bien para usar la tecla SOS esto carece de importancia pero para llamadas normales y sí que hay que desbloquear

-Hace un pitido al enchufar el cargador, y éste no puede silenciarse. Al tenerlo siempre enchufado en la base, durante el día se van escuchando de vez en cuando estos pitidos, porque pierde un poco de carga y vuelve a meterle carga la base, esto puede ser muy molesto sobre todo de noche

No obstante, he de decir que de los que he encontrado por Amazon es el que más me gustado a priori ya que es de los pocos que tienen el botón SOS delante";0
Valentín D.;4;Spain;20 October 2021;Sencillo , suena bien, standar y funcional, leer mi reseña.;"Todo perfecto, salvo unq cosilla.
Una persona mayor, con dificultad cognitiva muy leve o problemas de visión o motricidad de manos algo inestable puede causarle problemas en lo siguiente.
El teléfono cuando está apagada la luz de la pantalla, para abrirla ,es decir, activar el teléfono, tiene que pulsar dos veces la tecla llamar. A mi entender. Si le digo a mi abuela que solo tiene que pulsar cualquier botón (una sola vez) para poder usar el teléfono , incluso si se le olvidara no fallaría a la hora de encenderlo,que se abra la luz en la pantalla y llamar.";3
Gick;2;Italy;12 November 2016;Macchinoso;"Economico, ben costruito ma macchinoso da usare. In particolare il tasto verde della chiamata deve essere premuto più volte per effettuare la chiamata. Volume suoneria e microfono adeguati.

A distanza di oltre un mese rivedo la mia precedente recensione in senso peggiorativo. Troppo, e sottoloneo troppo, macchinoso per una persona anziana. Lo sconsiglio per tutte le persone non in grado di leggere e gestire i menu' del telefonino. Io ho dovuto comprare un altro telefono per mia madre perchè non era in grado di usarlo adeguatamente e per la frustrazione di non riuscire spesso rinunciava a chiamare amici e conoscenti.
Infine la qualità audio (specie per chi chiama) è penosa con frequenti echi molto fastidiosi.
Valutate bene l'utente a cui volete regalarlo per evitare spiacevoli sorprese. Forse è meglio spendere qualche decina di euro in piu' per evitare di dover ripetere l'acquisto.";4
Gold Diver;5;Italy;28 August 2020;Comodo e fa il suo lavoro, anzi di più;Sorpreso del fatto che un telefono del genere supporti le SIM attuali pur non essendo il tanto osannato UMTS.Ad ogni modo, ho finito per utilizzarlo come telefono di emergenza, perchè gli smartphone tutto fanno all'infuori delle chiamate.Prezzo onesto, telefono che funziona.Inoltre le migliaia di Euro spesi in anni con gli smartphone, non mi hanno ancora dato una basetta dove poggiare un tel in ricarica.Comodo !;0
Ezio;3;Italy;4 January 2017;Pensavo meglio...;"Acquisto effettuato per una persona anziana di 93 anni, quindi l'introduzione si spiega da sè. Tuttavia, nonostante l'età del destinatario e la difficoltà che si ha ad apprendere nuovi utilizzi, il telefono in qualche modo ha deluso sia la persona in questione che me. Offre molte opzioni e caratteristiche, il necessario per comunicare, tuttavia non è perfetto in niente.
Ha poche suonerie e per nulla chiare e limpide, schermo eccessivamente piccolo, alcune azioni di chiamata e messaggistica troppo macchinose.

Ne consiglio l'acquisto per chi ha una discreta dimestichezza degli apparati cellulari con tastiera, ottimo il prezzo e comoda la base presente per la ricarica; inoltre, cosa non da poco, i tasti sono di gomma e quindi facilmente individuabili e utilizzabili.";0
Patricio Yanez;5;Mexico;15 January 2022;Buen vendedor y buen producto;"El teléfono funciona excelente y no tiene ningún detalle, llegó sellado y sin ningún otro problema.

Buen vendedor: SHOP4YOU.";1
Aldo Juarez;5;Mexico;17 January 2022;Muy buen celular a exelente precio;El desempeño del celular fue de acuerdo a lo esperado;0
Alejandro J. Sierra Sanchez;5;Mexico;14 February 2021;si duda uni de los mejores;Gran calidad en todo;0
Miguel;5;Mexico;12 November 2020;Excelente producto;Excelente producto super recomendado funciona a la perfección en México solo el enchufe es diferente pero te dan el convertidor;1
Yess7;5;Mexico;29 June 2022;Muy bien;Todo muy bien, bien empaquetado y en buen tiempo de entrega.;0
